Altium Designer Pick and Place Locations
C:\Users\mario\AppData\Local\TempReleases\Snapshot\3\Sources\REV 1.00 (2025-03-05)\04 - ASSEMBLY\Schema_MaletteDevasion_PCB PNP XY REV 1.00.csv

========================================================================================================================
File Design Information:

Date:       05-03-25
Time:       11:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Assembly Note","Assembly Type","Polarized","Manufacturer #1","Part Number #1","Supplier 1","Supplier Part Number 1","HelpURL"
"J23","USB4120-03-C 16 Position 48 VDC USB Type C Vertical USB 2.0 Receptacle Connector","","TopLayer","6297,244","6422,638","90","","","","","","","",""
"J29","","None","TopLayer","9313,268","5795,000","180","","","","","","","",""
"MTH8","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","9251,969","4133,858","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH7","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","6102,362","4133,858","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH6","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","14173,228","8464,567","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH5","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","14173,228","5118,110","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH4","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","14173,228","984,252","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH3","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","1181,102","8464,567","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH2","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","1181,102","5118,110","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH1","MTH - MOUNTING HOLE M3 NON-PLATED - M3","M3","TopLayer","1181,102","984,252","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"Q1","MOSFET N-CH 100V 9.7A TO-220AB","","TopLayer","5230,000","7325,000","90","","","","","","","",""
"U3","Development Boards & Kits - Wireless (Engineering Samples) ESP32-C3 General-Purpose Development Board, embeds ESP32-C3-WROOM-02, 4 MB Flash, with Pin Header","None","TopLayer","14005,000","7786,325","270","","","","","","","",""
"U2","Development Boards & Kits - Wireless (Engineering Samples) ESP32-C3 General-Purpose Development Board, embeds ESP32-C3-WROOM-02, 4 MB Flash, with Pin Header","None","TopLayer","13409,732","1865,000","270","","","","","","","",""
"U1","Development Boards & Kits - Wireless (Engineering Samples) ESP32-C3 General-Purpose Development Board, embeds ESP32-C3-WROOM-02, 4 MB Flash, with Pin Header","None","TopLayer","1940,268","4065,000","90","","","","","","","",""
"J11","CON - Header 1X8 pins, 100Mils - TH-8","TH-8","TopLayer","12240,000","3187,677","0","","TH","No","","","","",""
"J4","CON - Header 1X8 pins, 100Mils - TH-8","TH-8","TopLayer","1975,000","5110,000","90","","TH","No","","","","",""
"J16","CON - Header 1x3 pins-100Mils - TH","TH","TopLayer","14130,000","8935,000","90","","TH","No","","","","",""
"J12","CONN HEADER VERT 4POS 2.5MM","","TopLayer","11555,787","8920,000","0","","","","","","","",""
"J27","CONN HEADER VERT 4POS 2.5MM","","TopLayer","9935,000","4887,638","90","","","","","","","",""
