Removed Pin From Net: NetName=NetC4_1 Pin=C4-1
Removed Pin From Net: NetName=GND Pin=C5-2
Removed Pin From Net: NetName=NetC6_1 Pin=C6-1
Removed Pin From Net: NetName=GND Pin=C6-2
Removed Pin From Net: NetName=GND Pin=C7-2
Removed Pin From Net: NetName=NetC8_1 Pin=C8-1
Removed Pin From Net: NetName=GND Pin=C8-2
Removed Pin From Net: NetName=GND Pin=C9-2
Removed Pin From Net: NetName=NetC10_1 Pin=C10-1
Removed Pin From Net: NetName=GND Pin=C10-2
Removed Pin From Net: NetName=GND Pin=C11-2
Removed Pin From Net: NetName=VUSB Pin=J17-1
Removed Pin From Net: NetName=GND Pin=J17-4
Removed Pin From Net: NetName=VUSB Pin=J18-1
Removed Pin From Net: NetName=GND Pin=J18-4
Removed Pin From Net: NetName=SCL Pin=J19-3
Removed Pin From Net: NetName=SDA Pin=J19-4
Removed Pin From Net: NetName=VUSB Pin=J20-1
Removed Pin From Net: NetName=GND Pin=J20-4
Removed Pin From Net: NetName=VUSB Pin=J21-1
Removed Pin From Net: NetName=GND Pin=J21-4
Removed Pin From Net: NetName=VUSB Pin=M1-5
Removed Pin From Net: NetName=VUSB Pin=M2-5
Removed Pin From Net: NetName=VUSB Pin=M3-5
Removed Pin From Net: NetName=VUSB Pin=M4-5
Removed Pin From Net: NetName=NetJ2_1 Pin=R1-1
Removed Pin From Net: NetName=NetJ1_1 Pin=R2-1
Removed Pin From Net: NetName=NetJ10_1 Pin=R11-2
Removed Pin From Net: NetName=NetJ10_2 Pin=R12-2
Removed Pin From Net: NetName=NetJ10_3 Pin=R13-2
Removed Pin From Net: NetName=NetJ10_4 Pin=R14-2
Removed Pin From Net: NetName=NetJ11_5 Pin=R15-2
Removed Pin From Net: NetName=NetJ11_6 Pin=R16-2
Removed Pin From Net: NetName=NetJ11_7 Pin=R17-2
Removed Pin From Net: NetName=NetJ11_8 Pin=R18-2
Removed Pin From Net: NetName=VUSB Pin=R26-2
Removed Pin From Net: NetName=VUSB Pin=R27-2
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C5
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C6
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C7
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C8
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C9
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C10
Removed Member From Class: ClassName=Raspberry_Pi_4_ModelB Member=C11
Change Component Footprint: Designator=C4 Old Footprint=CAP POL 1206_3216 New Footprint=CAP AL TH D8 L3.5 H12.5
Change Component Footprint: Designator=J17 Old Footprint=FP-B4B-XH-A_LF_SN-MFG New Footprint=JST XH B3B-XH-A
Change Component Footprint: Designator=J18 Old Footprint=FP-B4B-XH-A_LF_SN-MFG New Footprint=JST XH B3B-XH-A
Change Component Footprint: Designator=J20 Old Footprint=FP-B4B-XH-A_LF_SN-MFG New Footprint=JST XH B3B-XH-A
Change Component Footprint: Designator=J21 Old Footprint=FP-B4B-XH-A_LF_SN-MFG New Footprint=JST XH B3B-XH-A
Change Component Comment : Designator=C4 Old Comment=100 nF New Comment=470 µF
Change Component Comment : Designator=J17 Old Comment=B4B-XH-A(LF)(SN) New Comment=B3B-XH-A(LF)(SN)
Change Component Comment : Designator=J18 Old Comment=B4B-XH-A(LF)(SN) New Comment=B3B-XH-A(LF)(SN)
Change Component Comment : Designator=J20 Old Comment=B4B-XH-A(LF)(SN) New Comment=B3B-XH-A(LF)(SN)
Change Component Comment : Designator=J21 Old Comment=B4B-XH-A(LF)(SN) New Comment=B3B-XH-A(LF)(SN)
Change Managed Component Library Link : Designator=J17 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=6612D765-7A59-4B7B-807B-DC2F7FB50E47 New ItemGUID= Old RevisionGUID=7A7A3922-1DD3-47E1-8ADB-FC5517DBD77E New RevisionGUID=
Change Managed Component Library Link : Designator=J18 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=6612D765-7A59-4B7B-807B-DC2F7FB50E47 New ItemGUID= Old RevisionGUID=7A7A3922-1DD3-47E1-8ADB-FC5517DBD77E New RevisionGUID=
Change Managed Component Library Link : Designator=J20 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=6612D765-7A59-4B7B-807B-DC2F7FB50E47 New ItemGUID= Old RevisionGUID=7A7A3922-1DD3-47E1-8ADB-FC5517DBD77E New RevisionGUID=
Change Managed Component Library Link : Designator=J21 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=6612D765-7A59-4B7B-807B-DC2F7FB50E47 New ItemGUID= Old RevisionGUID=7A7A3922-1DD3-47E1-8ADB-FC5517DBD77E New RevisionGUID=
Change component parameters: Designator = "C4" ("C4"); Footprint = "CAP POL 1206_3216"; UniqueID = "\AIPLUDMP" ("\AIPLUDMP")
Change component parameters (AddParameter): Name = "Applications"; Value = "Audio"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "470 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "http://nichicon-us.com/english/products/pdfs/e-ukt.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/nichicon/UKT1A471MPD1TD/4317249"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "Radial, Can"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.492" (12.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "2024-06-03 20:06:11"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "0.138" (3.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime @ Temp."; Value = "1000 Hrs @ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "Nichicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "Radial, Can"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndBox"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "UKT1A471MPD1TD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "7242"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.24"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current @ High Frequency"; Value = "420 mA @ 10 kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current @ Low Frequency"; Value = "280 mA @ 120 Hz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "UKT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.315" Dia (8.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "493-10628-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "value"; Value = "470 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "J17" ("J17"); Footprint = "FP-B4B-XH-A_LF_SN-MFG"; UniqueID = "\MCNFTLPY" ("\MCNFTLPY")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.jst-mfg.com/product/pdf/eng/eXH.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/jst-sales-america-inc/B3B-XH-A-LF-SN/455-2248-ND/1651046"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Post"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Length - Post"; Value = "0.134" (3.40mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Shape"; Value = "Square"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "Detent Lock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Natural"; VariantName = "[No Variations]"
